lat,lon,start_time,end_time,type
40.6093302,-73.9699925,2022-06-23 16:25:08,2022-06-23 16:25:08,MOVE_POINT
40.6093298,-73.96999199999999,2022-06-23 16:25:09,2022-06-23 16:25:09,MOVE_POINT
40.6093293,-73.9699909,2022-06-23 16:25:10,2022-06-23 16:25:10,MOVE_POINT
40.6093287,-73.9699897,2022-06-23 16:25:11,2022-06-23 16:25:11,MOVE_POINT
40.6093281,-73.9699888,2022-06-23 16:25:12,2022-06-23 16:25:12,MOVE_POINT
40.6093283,-73.9699875,2022-06-23 16:25:13,2022-06-23 16:25:13,MOVE_POINT
40.6093288,-73.9699864,2022-06-23 16:25:14,2022-06-23 16:25:14,MOVE_POINT
40.6093289,-73.9699857,2022-06-23 16:25:15,2022-06-23 16:25:15,MOVE_POINT
40.6093294,-73.9699845,2022-06-23 16:25:16,2022-06-23 16:25:16,MOVE_POINT
40.6093299,-73.9699837,2022-06-23 16:25:17,2022-06-23 16:25:17,MOVE_POINT
40.6093311,-73.9699826,2022-06-23 16:25:18,2022-06-23 16:25:18,MOVE_POINT
40.6093321,-73.9699816,2022-06-23 16:25:19,2022-06-23 16:25:19,MOVE_POINT
40.609331518181826,-73.96997858181818,2022-06-23 16:25:20,2022-06-23 16:25:30,STOP
40.6093226,-73.96998099999999,2022-06-23 16:25:31,2022-06-23 16:25:31,MOVE_POINT
40.609310134375,-73.969985353125,2022-06-23 16:25:32,2022-06-23 16:25:47,STOP
40.6092702,-73.96997979999999,2022-06-23 16:25:48,2022-06-23 16:25:48,MOVE_POINT
40.6092337,-73.96997309999999,2022-06-23 16:25:49,2022-06-23 16:25:49,MOVE_POINT
40.6091886,-73.96996469999999,2022-06-23 16:25:50,2022-06-23 16:25:50,MOVE_POINT
40.6091397,-73.96995609999999,2022-06-23 16:25:51,2022-06-23 16:25:51,MOVE_POINT
40.6090912,-73.96994769999999,2022-06-23 16:25:52,2022-06-23 16:25:52,MOVE_POINT
40.6090522,-73.96994029999999,2022-06-23 16:25:53,2022-06-23 16:25:53,MOVE_POINT
40.60902,-73.9699357,2022-06-23 16:25:54,2022-06-23 16:25:54,MOVE_POINT
40.6089942,-73.9699325,2022-06-23 16:25:55,2022-06-23 16:25:55,MOVE_POINT
40.608975,-73.9699329,2022-06-23 16:25:56,2022-06-23 16:25:56,MOVE_POINT
40.6089614,-73.9699316,2022-06-23 16:25:57,2022-06-23 16:25:57,MOVE_POINT
40.608953,-73.9699304,2022-06-23 16:25:58,2022-06-23 16:25:58,MOVE_POINT
40.6089512,-73.9699298,2022-06-23 16:25:59,2022-06-23 16:25:59,MOVE_POINT
40.6089513,-73.96992929999999,2022-06-23 16:26:00,2022-06-23 16:26:00,MOVE_POINT
40.6089514,-73.9699291,2022-06-23 16:26:01,2022-06-23 16:26:01,MOVE_POINT
40.6089516,-73.9699285,2022-06-23 16:26:02,2022-06-23 16:26:02,MOVE_POINT
40.6089515,-73.96992809999999,2022-06-23 16:26:03,2022-06-23 16:26:03,MOVE_POINT
40.6089514,-73.9699277,2022-06-23 16:26:04,2022-06-23 16:26:04,MOVE_POINT
40.6089512,-73.9699274,2022-06-23 16:26:05,2022-06-23 16:26:05,MOVE_POINT
40.608951,-73.9699268,2022-06-23 16:26:06,2022-06-23 16:26:06,MOVE_POINT
