lat,lon,start_time,end_time,type
40.6093302,-73.9699925,2022-06-23 16:25:08,2022-06-23 16:25:08,MOVE_POINT
40.6093298,-73.96999199999999,2022-06-23 16:25:09,2022-06-23 16:25:09,MOVE_POINT
40.6093287,-73.9699897,2022-06-23 16:25:11,2022-06-23 16:25:11,MOVE_POINT
40.6093281,-73.9699888,2022-06-23 16:25:12,2022-06-23 16:25:12,MOVE_POINT
40.6093283,-73.9699875,2022-06-23 16:25:13,2022-06-23 16:25:13,MOVE_POINT
40.6093288,-73.9699864,2022-06-23 16:25:14,2022-06-23 16:25:14,MOVE_POINT
40.6093289,-73.9699857,2022-06-23 16:25:15,2022-06-23 16:25:15,MOVE_POINT
40.6093294,-73.9699845,2022-06-23 16:25:16,2022-06-23 16:25:16,MOVE_POINT
40.6093299,-73.9699837,2022-06-23 16:25:17,2022-06-23 16:25:17,MOVE_POINT
40.6093321,-73.9699816,2022-06-23 16:25:19,2022-06-23 16:25:19,MOVE_POINT
40.609331518181826,-73.96997858181818,2022-06-23 16:25:20,2022-06-23 16:25:30,STOP
40.6093226,-73.96998099999999,2022-06-23 16:25:31,2022-06-23 16:25:31,MOVE_POINT
40.609310134375,-73.969985353125,2022-06-23 16:25:32,2022-06-23 16:25:47,STOP
40.6092702,-73.96997979999999,2022-06-23 16:25:48,2022-06-23 16:25:48,MOVE_POINT
40.6092337,-73.96997309999999,2022-06-23 16:25:49,2022-06-23 16:25:49,MOVE_POINT
40.6090912,-73.96994769999999,2022-06-23 16:25:52,2022-06-23 16:25:52,MOVE_POINT
40.6090522,-73.96994029999999,2022-06-23 16:25:53,2022-06-23 16:25:53,MOVE_POINT
40.60902,-73.9699357,2022-06-23 16:25:54,2022-06-23 16:25:54,MOVE_POINT
40.6089942,-73.9699325,2022-06-23 16:25:55,2022-06-23 16:25:55,MOVE_POINT
40.608975,-73.9699329,2022-06-23 16:25:56,2022-06-23 16:25:56,MOVE_POINT
40.6089614,-73.9699316,2022-06-23 16:25:57,2022-06-23 16:25:57,MOVE_POINT
40.608953,-73.9699304,2022-06-23 16:25:58,2022-06-23 16:25:58,MOVE_POINT
40.6089509,-73.9699241,2022-06-23 16:26:09,2022-06-23 16:26:09,MOVE_POINT
40.60895259411764,-73.96992098235295,2022-06-23 16:26:10,2022-06-23 16:26:26,STOP
40.60894,-73.969911,2022-06-23 16:26:27,2022-06-23 16:26:27,MOVE_POINT
40.6088981,-73.9698986,2022-06-23 16:26:29,2022-06-23 16:26:29,MOVE_POINT
40.6088213,-73.9698908,2022-06-23 16:26:31,2022-06-23 16:26:31,MOVE_POINT
40.6087089,-73.9698744,2022-06-23 16:26:33,2022-06-23 16:26:33,MOVE_POINT
40.6084578,-73.9698119,2022-06-23 16:26:37,2022-06-23 16:26:37,MOVE_POINT
40.6082119,-73.969769,2022-06-23 16:26:40,2022-06-23 16:26:40,MOVE_POINT
40.6078381,-73.9696926,2022-06-23 16:26:45,2022-06-23 16:26:45,MOVE_POINT
40.6075742,-73.9696438,2022-06-23 16:26:49,2022-06-23 16:26:49,MOVE_POINT
40.6074034,-73.96960709999999,2022-06-23 16:26:52,2022-06-23 16:26:52,MOVE_POINT
40.6073123,-73.96959009999999,2022-06-23 16:26:54,2022-06-23 16:26:54,MOVE_POINT
40.6072072,-73.9695708,2022-06-23 16:26:58,2022-06-23 16:26:58,MOVE_POINT
