dataset,label,obj_id,n_points
NYC,NYC,4216956,910
NYC,NYC,4272243,646
NYC,NYC,4344977,1187
NYC,NYC,4350946,690
NYC,NYC,4351935,775
NYC,NYC,4352377,716
NYC,NYC,4358853,666
NYC,NYC,4359232,681
NYC,NYC,4370045,720
NYC,NYC,4389353,650
NYC,NYC,4389414,645
NYC,NYC,4392729,652
NYC,NYC,4393045,936
NYC,NYC,4440451,657
NYC,NYC,4443744,710
NYC,NYC,4448887,666
NYC,NYC,4469551,670
NYC,NYC,4472905,816
NYC,NYC,4473229,673
NYC,NYC,4481970,642
NYC,NYC,4482888,647
NYC,NYC,4487550,653
NYC,NYC,4487946,710
NYC,NYC,4504164,649
NYC,NYC,4527487,671
NYC,NYC,4544584,672
NYC,NYC,4547202,696
NYC,NYC,4559519,991
NYC,NYC,4575701,700
NYC,NYC,4579744,678
NYC,NYC,4605892,678
NYC,NYC,4668185,641
NYC,NYC,4705097,659
NYC,NYC,4724133,650
NYC,NYC,4749525,805
NYC,NYC,4754626,1144
NYC,NYC,4754956,647
NYC,NYC,4775763,718
NYC,NYC,4785421,773
NYC,NYC,4789937,678
NYC,NYC,4792515,705
NYC,NYC,4811115,643
NYC,NYC,4824328,688
NYC,NYC,4861227,710
NYC,NYC,4861687,746
NYC,NYC,4862222,670
NYC,NYC,4862380,660
NYC,NYC,4865550,642
NYC,NYC,4865558,649
NYC,NYC,4912927,674
NYC,NYC,4915833,675
NYC,NYC,4940890,683
NYC,NYC,5244934,656
NYC,NYC,5351422,654
NYC,NYC,5477477,678
NYC,NYC,5499001,670
NYC,NYC,5503058,916
NYC,NYC,5503168,695
NYC,NYC,5503359,716
NYC,NYC,5540718,663
NYC,NYC,5540722,691
NYC,NYC,5540733,641
NYC,NYC,5540847,869
NYC,NYC,5547018,649
NYC,NYC,5565253,670
NYC,NYC,5615881,1051
NYC,NYC,5615968,642
NYC,NYC,5615986,685
NYC,NYC,5615988,671
NYC,NYC,5616015,657
NYC,NYC,5633515,663
NYC,NYC,5692189,1527
NYC,NYC,5705278,643
NYC,NYC,5705752,682
NYC,NYC,5706077,656
NYC,NYC,5706137,737
NYC,NYC,5715345,923
NYC,NYC,5771585,720
