eps_m,t_s,min_samples,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,step_n_stops_mean,step_n_stops_median,step_n_stops_std,step_n_stops_min,step_n_stops_max,step_n_moves_mean,step_n_moves_median,step_n_moves_std,step_n_moves_min,step_n_moves_max,step_mean_stop_s_mean,step_mean_stop_s_median,step_mean_stop_s_std,step_mean_stop_s_min,step_mean_stop_s_max,step_mean_move_pts_mean,step_mean_move_pts_median,step_mean_move_pts_std,step_mean_move_pts_min,step_mean_move_pts_max,step_wall_s_mean,step_wall_s_median,step_wall_s_std,step_wall_s_min,step_wall_s_max,step_wall_p25_s_mean,step_wall_p25_s_median,step_wall_p25_s_std,step_wall_p25_s_min,step_wall_p25_s_max,step_wall_p75_s_mean,step_wall_p75_s_median,step_wall_p75_s_std,step_wall_p75_s_min,step_wall_p75_s_max,stss_n_stops_mean,stss_n_stops_median,stss_n_stops_std,stss_n_stops_min,stss_n_stops_max,stss_n_moves_mean,stss_n_moves_median,stss_n_moves_std,stss_n_moves_min,stss_n_moves_max,stss_mean_stop_s_mean,stss_mean_stop_s_median,stss_mean_stop_s_std,stss_mean_stop_s_min,stss_mean_stop_s_max,stss_mean_move_pts_mean,stss_mean_move_pts_median,stss_mean_move_pts_std,stss_mean_move_pts_min,stss_mean_move_pts_max,stss_wall_s_mean,stss_wall_s_median,stss_wall_s_std,stss_wall_s_min,stss_wall_s_max,stss_wall_p25_s_mean,stss_wall_p25_s_median,stss_wall_p25_s_std,stss_wall_p25_s_min,stss_wall_p25_s_max,stss_wall_p75_s_mean,stss_wall_p75_s_median,stss_wall_p75_s_std,stss_wall_p75_s_min,stss_wall_p75_s_max,f1_mean,f1_median,f1_std,f1_min,f1_max,precision_mean,precision_median,precision_std,precision_min,precision_max,recall_mean,recall_median,recall_std,recall_min,recall_max,matched_iou_mean_mean,matched_iou_mean_median,matched_iou_mean_std,matched_iou_mean_min,matched_iou_mean_max,passes_plan_heuristic,step_ms_per_point_median
10.0,30.0,15,100,729.34,678.0,144.64091517767145,641.0,1527.0,3.87,4.0,1.6736520280844256,0.0,8.0,4.65,5.0,1.6476184220402685,1.0,9.0,71.03623809523809,54.45,54.41236571058715,0.0,466.0,124.67958333333333,96.3,101.63047030435577,25.833333333333332,657.0,0.0160856,0.008664350000000001,0.028614814283009264,0.002459,0.268001,0.01554621,0.0084601,0.028328065413929317,0.0024209,0.26570459999999996,0.017090642,0.0097123,0.029947732654970253,0.0025480999999999998,0.2801957,3.72,4.0,1.8481768248080528,0.0,9.0,4.4,4.0,1.6937198318160145,1.0,9.0,57.202333333333335,42.41666666666667,52.55471777233364,0.0,429.0,153.49655555555555,121.5,117.66836812369088,38.22222222222222,678.0,0.260244969,0.232945275,0.14291656303065414,0.0224987,0.9163752999999999,0.2566500165,0.23259778750000001,0.140814586075154,0.0218463,0.90664295,0.2638399215,0.23483094999999998,0.1451102030572665,0.023151099999999997,0.9261076500000001,0.612864870423694,0.6666666666666666,0.25785697371478944,0.0,1.0,0.6246428571428572,0.6666666666666666,0.28140939281386007,0.0,1.0,0.6547698412698413,0.6666666666666666,0.2947551588278035,0.0,1.0,0.787699692693464,0.8636824324324325,0.2405352704187377,0.0,0.9789204545454546,1,0.012779277286135695
20.0,30.0,15,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.28,4.0,1.6941968688151416,0.0,8.0,4.8,5.0,1.6817499303650434,0.0,9.0,88.12366666666667,64.125,70.01999511130684,0.0,487.0,96.58857539682539,68.78333333333333,84.92340167516673,0.0,647.0,0.017663307,0.0105724,0.02753675918676983,0.002851,0.2420862,0.017201388,0.01039265,0.02702522171206218,0.0028389,0.23863269999999998,0.018275765,0.01085895,0.029451393426489923,0.0029185,0.26217959999999996,4.59,5.0,1.9179903202797632,0.0,9.0,5.1,5.0,1.743675440098885,1.0,9.0,55.999829365079364,44.02777777777778,45.988416184855986,0.0,429.0,118.2649007936508,91.4,95.15576135288507,29.333333333333332,657.0,0.297561611,0.27992380000000006,0.14056750922317543,0.03160520000000001,0.8768910500000001,0.292816076,0.27683011250000006,0.1353266071282958,0.029896800000000005,0.818063325,0.30230714599999997,0.282528225,0.14612332554665722,0.0333136,0.935718775,0.5858084693084693,0.6666666666666665,0.2494504284952137,0.0,1.0,0.6224047619047619,0.6666666666666666,0.26720919332014126,0.0,1.0,0.5943253968253969,0.6125,0.2800802755576849,0.0,1.0,0.8042271551994258,0.8801891142778027,0.22789084843785642,0.0,1.0,1,0.015593510324483773
15.0,30.0,15,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.23,4.5,1.6382732964738802,0.0,7.0,4.86,5.0,1.5892314386698263,1.0,8.0,77.42716666666666,58.6,56.329537057625764,0.0,482.0,104.63473809523809,81.3,87.14836626844874,18.8,647.0,0.019475189,0.011980249999999998,0.02061599390999004,0.0034976000000000004,0.1249689,0.018492508,0.011425,0.019877105726665196,0.003467,0.12303910000000001,0.02115325,0.01285705,0.02219379725882796,0.0039229,0.12708189999999997,4.24,4.0,1.928625406758907,0.0,9.0,4.79,5.0,1.7250091494414068,1.0,9.0,56.0548492063492,44.083333333333336,47.14064114047243,0.0,429.0,131.238,100.7,100.28416031862633,32.333333333333336,657.0,0.3239171365,0.292310525,0.1464720497882513,0.04946965000000001,0.78341855,0.31956412775,0.29006765,0.14602476513097726,0.04768302500000001,0.781081775,0.32827014525,0.29536558749999997,0.14706295361302876,0.05125627500000001,0.785755325,0.5962223054723055,0.6458333333333333,0.2581301861781966,0.0,1.0,0.6164761904761905,0.6666666666666666,0.2816155582699642,0.0,1.0,0.6227460317460317,0.6666666666666666,0.2871445209636364,0.0,1.0,0.8000931833630018,0.8880548598862017,0.23964101622725464,0.0,0.9824561403508771,1,0.01766998525073746
30.0,30.0,15,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.56,5.0,1.748419199439796,1.0,8.0,4.85,5.0,1.7371461561068393,0.0,9.0,107.31092857142858,68.83333333333334,120.07055305071515,30.0,678.0,82.92339285714286,58.666666666666664,79.59234742164813,0.0,616.0,0.017991229,0.011914399999999999,0.02109373875619026,0.0035120999999999998,0.1576814,0.017397967,0.01177055,0.02009355929774843,0.0035044,0.14705970000000002,0.018543985,0.0130965,0.021427887338701306,0.0035828,0.16057529999999998,5.09,5.0,1.938941708637717,0.0,10.0,5.38,5.0,1.6924072867493878,1.0,9.0,54.11129761904762,44.111111111111114,29.923440087258868,0.0,229.5,105.0164365079365,83.53333333333333,91.48820765933036,26.333333333333332,657.0,0.309605986,0.2976552,0.14335040892519124,0.0432491,0.8473640499999999,0.3041755275,0.29540135,0.13985139565631252,0.0432123,0.8323828500000001,0.3150364445,0.2990855625,0.14715307427432772,0.043285899999999995,0.8694072749999999,0.571207100089453,0.6,0.26092696599876175,0.0,1.0,0.6062142857142857,0.6,0.27978559968428696,0.0,1.0,0.5733492063492064,0.6,0.28179898605170506,0.0,1.0,0.8046305242999209,0.8858665668348045,0.2378924773063335,0.0,1.0,1,0.017572861356932153
15.0,60.0,30,100,729.34,678.0,144.64091517767145,641.0,1527.0,1.36,1.0,1.1765383224708086,0.0,4.0,2.26,2.0,1.1513716018977391,1.0,5.0,93.295,72.91666666666666,94.89862082838226,0.0,505.5,340.6595,286.0,217.31023296826513,39.666666666666664,721.0,0.014628876,0.00951875,0.019214047915297218,0.0025104000000000003,0.1637576,0.014039459,0.009150450000000001,0.017792902689607374,0.0025065,0.1463754,0.015431284,0.01000345,0.019996466037831926,0.0025296999999999997,0.1712134,1.86,2.0,1.370836211657658,0.0,6.0,2.66,3.0,1.224497423187954,1.0,6.0,82.19283333333334,71.5,82.56042038954858,0.0,508.0,285.806,219.66666666666669,199.69639498816255,49.5,716.0,0.226221399,0.20250732499999996,0.13029395520793172,0.00996935,0.78357395,0.2223601255,0.19752787500000002,0.1276804120102728,0.009947775,0.7718555249999999,0.2300826725,0.2046333125,0.13304004140442263,0.009990925,0.795292375,0.5235714285714286,0.6666666666666666,0.4031145920046663,0.0,1.0,0.5933333333333334,0.8333333333333333,0.4496662935256643,0.0,1.0,0.5013333333333333,0.5,0.4069450391280517,0.0,1.0,0.5912243425846038,0.8435706032868924,0.428888993930724,0.0,1.0,0,0.014039454277286135
10.0,60.0,30,100,729.34,678.0,144.64091517767145,641.0,1527.0,1.1,1.0,1.049290284435199,0.0,5.0,2.05,2.0,1.0286305498481016,1.0,5.0,86.19466666666666,70.16666666666666,97.37849981982929,0.0,503.5,382.61566666666664,296.0,218.05322274786383,54.8,721.0,0.021930181,0.012407850000000002,0.03858246268246988,0.0034105999999999997,0.3591508,0.019236525,0.010456449999999999,0.032848659530968535,0.003339,0.3055692,0.023703309,0.01314935,0.04286768272402529,0.0035982999999999996,0.3993665,1.42,1.0,1.2884882693303887,0.0,5.0,2.3,2.0,1.1934162828797101,1.0,5.0,74.37033333333333,69.5,85.57373119870512,0.0,505.5,354.12733333333335,289.5,224.10148461569474,68.4,916.0,0.240812384,0.20995260000000002,0.1453146629856642,0.013291200000000001,0.8800801500000001,0.236019843,0.2067390375,0.14393387343612368,0.0132185,0.8715172250000001,0.245604925,0.21593105,0.14680092005575546,0.013363900000000001,0.8886430750000001,0.48033333333333333,0.6190476190476191,0.4318280707855151,0.0,1.0,0.535,0.5833333333333333,0.47395404362213095,0.0,1.0,0.4658333333333333,0.5,0.4361754440100351,0.0,1.0,0.5335578248384647,0.8124109410970866,0.4558532688064947,0.0,1.0,0,0.018300663716814162
30.0,60.0,30,100,729.34,678.0,144.64091517767145,641.0,1527.0,1.7,2.0,1.1503183573395337,0.0,5.0,2.51,2.0,1.1054959123041623,1.0,5.0,128.08466666666666,86.4,120.98567736883182,0.0,643.0,258.628,181.33333333333331,188.22946402535584,24.5,710.0,0.018399052,0.011753,0.02127059374916735,0.0030822,0.1206159,0.017985716,0.01165015,0.02073497463859982,0.0030702,0.1134829,0.018893487,0.01198415,0.0218740043743255,0.0031425,0.1304382,2.47,2.5,1.6358051796771478,0.0,6.0,3.11,3.0,1.4062989609882983,1.0,7.0,87.09733333333334,72.66666666666666,82.54522658306676,0.0,513.0,232.95042857142857,165.66666666666669,193.46986655497523,45.5,716.0,0.2631618625,0.246379125,0.13664959977693433,0.024771949999999997,0.7943357500000001,0.25946514625,0.24303916249999996,0.13453575284503225,0.024635474999999997,0.7737336749999999,0.26685857875,0.2519161625,0.1389654406150004,0.024908425,0.8149378250000001,0.5300901875901876,0.5714285714285715,0.37989050161277094,0.0,1.0,0.6198333333333333,0.7083333333333333,0.41915214914180127,0.0,1.0,0.5016666666666667,0.5,0.39409573432282646,0.0,1.0,0.659184935462859,0.8900512995990753,0.4010957657542714,0.0,0.9891891891891892,0,0.01733480825958702
50.0,30.0,15,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.39,4.0,1.6569108410996456,1.0,9.0,4.54,5.0,1.7547626389890796,0.0,9.0,125.96165079365079,91.075,119.79954446869505,36.5,685.0,69.28719444444444,52.03333333333333,69.80650031461222,0.0,600.0,0.023068154,0.012942799999999999,0.030579739778511836,0.0035513000000000003,0.1999839,0.022654315,0.012862249999999999,0.02995110329141828,0.0035155,0.19450220000000001,0.023971428,0.013447500000000001,0.03168441140702653,0.0035708000000000003,0.2054464,5.58,6.0,2.0703778994339768,0.0,10.0,5.67,6.0,1.781243465343321,1.0,9.0,54.30036111111111,46.111111111111114,28.32590970796208,0.0,235.5,96.05423015873016,76.0,92.08864569963393,24.25,657.0,0.3204627325,0.312898425,0.13224186837954346,0.029918449999999996,0.8062857000000001,0.31613664575,0.31140209999999996,0.1300145770465475,0.029780425,0.7941561,0.32478881924999997,0.31430845,0.13471118460155013,0.030056475000000003,0.8184153000000002,0.5183821091189512,0.5454545454545454,0.2750004341503335,0.0,1.0,0.576,0.6,0.29639941151336363,0.0,1.0,0.5044801587301587,0.5,0.29661878459096375,0.0,1.0,0.7503762634625337,0.8354064068884166,0.25711650814836357,0.0,1.0,0,0.01908967551622419
20.0,60.0,30,100,729.34,678.0,144.64091517767145,641.0,1527.0,1.45,1.0,1.1043989178267832,0.0,4.0,2.33,2.0,1.082971967701973,1.0,5.0,105.18666666666667,78.25,96.40678167696963,0.0,506.5,308.1021666666667,279.5,203.89797350821704,35.5,710.0,0.021838713,0.01135025,0.03395204551024621,0.0029166,0.290768,0.02056126,0.011143750000000001,0.03250032170159663,0.0029142000000000005,0.2854997,0.023264596,0.012106,0.0365398749036436,0.0029541,0.3077005,2.06,2.0,1.4690063982092787,0.0,6.0,2.83,3.0,1.3337499349161703,1.0,6.0,84.40483333333333,72.29166666666666,82.0514468752098,0.0,509.5,267.0855,186.25,197.55745422465088,47.166666666666664,716.0,0.3242838345,0.279579325,0.1966326306721338,0.022981150000000002,1.0986311500000001,0.31114479625,0.26712104999999997,0.1861226166969865,0.022934225,1.072321925,0.33742287275,0.2841753,0.20836663246600792,0.023028075000000002,1.124940375,0.4833650793650794,0.5357142857142858,0.3935923438739669,0.0,1.0,0.5633333333333334,0.6666666666666666,0.45073203956752933,0.0,1.0,0.4558333333333333,0.5,0.3968900921288897,0.0,1.0,0.5783906606232386,0.8460929885780424,0.4367477032223768,0.0,0.9918032786885246,0,0.016740781710914452
50.0,60.0,30,100,729.34,678.0,144.64091517767145,641.0,1527.0,1.94,2.0,1.1443316606189613,0.0,5.0,2.6,3.0,1.1370704872299222,0.0,5.0,156.5625,109.0,145.06439965407694,0.0,682.0,220.025,158.66666666666666,187.6285312470758,0.0,700.0,0.022927396,0.013743100000000001,0.02724917979146269,0.0040016999999999995,0.1890845,0.022115038,0.013382999999999999,0.025800466472440206,0.003964,0.1825777,0.023546947000000002,0.0143732,0.027806496066314263,0.0040079,0.18968640000000003,2.91,3.0,1.6702688345886059,0.0,7.0,3.42,3.0,1.4507399714099232,1.0,7.0,90.77245238095239,75.9,80.81199475671374,0.0,521.0,196.56504761904762,121.20833333333334,179.0979162835511,32.2,716.0,0.296134108,0.28945380000000004,0.12424163048404356,0.0345572,0.7586221999999999,0.2919745025,0.28760455,0.12221980601114225,0.034476549999999995,0.7397470500000001,0.3002937135,0.29130304999999995,0.12648256254734838,0.03463785,0.77749735,0.49756349206349204,0.5,0.3626081964339468,0.0,1.0,0.5883333333333334,0.6666666666666666,0.40407228409581714,0.0,1.0,0.4636904761904762,0.45,0.37056274422293606,0.0,1.0,0.649382529910697,0.8595799281936459,0.39002318909200845,0.0,0.9893333333333333,0,0.020270058997050148
