trajectory,eps_m,t_s,min_samples,n_points,step_n_stops,step_n_moves,step_mean_stop_s,step_mean_move_pts,step_wall_s,step_wall_p25_s,step_wall_p75_s,stss_n_stops,stss_n_moves,stss_mean_stop_s,stss_mean_move_pts,stss_wall_s,stss_wall_p25_s,stss_wall_p75_s,f1,precision,recall,matched_iou_mean
4216956,10.0,10.0,5,910,6,6,94.83333333333333,55.833333333333336,0.042009,0.0396798,0.044653,10,11,35.5,49.54545454545455,0.5979191500000001,0.5956571749999999,0.600181125,0.125,0.16666666666666666,0.1,0.5763688760806917
4272243,10.0,10.0,5,646,4,4,25.5,135.0,0.0066308999999999995,0.0060983,0.0069687,5,5,14.8,113.4,0.12459255,0.12202017500000001,0.12716492499999998,0.22222222222222224,0.25,0.2,1.0
4344977,10.0,10.0,5,1187,8,8,110.0,37.375,0.07633569999999999,0.0702655,0.09039140000000001,14,14,50.07142857142857,33.714285714285715,0.71869505,0.6946318749999999,0.7427582250000001,0.45454545454545453,0.625,0.35714285714285715,0.7266403647273364
4350946,10.0,10.0,5,690,11,11,37.63636363636363,24.09090909090909,0.009346799999999999,0.009048,0.0093714,12,13,15.416666666666666,37.92307692307692,0.4048003,0.40124025,0.40836035000000004,0.2608695652173913,0.2727272727272727,0.25,0.7746031746031745
4351935,10.0,10.0,5,775,10,10,49.3,27.2,0.0235952,0.0235345,0.0236537,11,12,23.818181818181817,41.833333333333336,0.43604225,0.421072725,0.451011775,0.380952380952381,0.4,0.36363636363636365,0.8164466873706004
4352377,10.0,10.0,5,716,10,10,37.1,33.5,0.015878200000000002,0.0137896,0.0179373,10,9,26.1,49.44444444444444,0.3270181,0.32433480000000003,0.32970140000000003,0.6,0.6,0.6,0.8547071002313968
4358853,10.0,10.0,5,666,8,8,34.75,47.5,0.0101434,0.009900299999999999,0.0103601,8,9,14.125,60.55555555555556,0.34080585,0.337072325,0.344539375,0.25,0.25,0.25,0.6964912280701754
4359232,10.0,10.0,5,681,4,5,33.5,108.6,0.006263600000000001,0.0062388999999999995,0.0067494,4,5,14.5,123.8,0.1369645,0.13672954999999998,0.13719944999999997,0.25,0.25,0.25,0.9166666666666666
4370045,10.0,10.0,5,720,6,7,51.833333333333336,57.57142857142857,0.012462099999999999,0.0117712,0.013896200000000001,6,7,25.0,80.57142857142857,0.26153580000000004,0.26034945,0.26272215000000004,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6785714285714286
4389353,10.0,10.0,5,650,8,9,31.0,43.77777777777778,0.0088112,0.0086575,0.008868899999999999,6,6,24.5,82.83333333333333,0.22281079999999998,0.21775869999999997,0.22786290000000003,0.5714285714285715,0.5,0.6666666666666666,0.8988387021475257
4389414,10.0,10.0,5,645,7,7,35.142857142857146,56.0,0.0074273,0.0071467,0.0077303,6,7,13.0,80.14285714285714,0.198231,0.19773469999999999,0.19872730000000002,0.15384615384615383,0.14285714285714285,0.16666666666666666,0.7647058823529411
4392729,10.0,10.0,5,652,8,9,33.75,41.55555555555556,0.007769100000000001,0.0055352,0.0100399,9,10,15.222222222222221,50.6,0.27953935,0.277431625,0.281647075,0.23529411764705882,0.25,0.2222222222222222,0.8095238095238095
4393045,10.0,10.0,5,936,6,7,95.33333333333333,51.142857142857146,0.0623592,0.0509843,0.06528750000000001,11,12,38.45454545454545,41.833333333333336,0.50321825,0.4971285750000001,0.509307925,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7269793459552496
4440451,10.0,10.0,5,657,4,5,36.25,101.6,0.0051666,0.0039702,0.005523800000000001,5,5,17.2,113.2,0.1209888,0.1202287,0.12174890000000001,0.22222222222222224,0.25,0.2,0.9473684210526315
4443744,10.0,10.0,5,710,7,8,45.857142857142854,47.75,0.011118600000000001,0.010994799999999999,0.0112146,10,11,16.2,48.90909090909091,0.2506083,0.24517875,0.25603785,0.11764705882352941,0.14285714285714285,0.1,0.8823529411764706
4448887,10.0,10.0,5,666,9,8,42.111111111111114,34.75,0.0100886,0.0097655,0.0101221,8,8,17.0,65.25,0.30581765,0.304252325,0.307382975,0.23529411764705882,0.2222222222222222,0.25,0.7922705314009661
4469551,10.0,10.0,5,670,7,7,35.0,59.714285714285715,0.006022,0.005949000000000001,0.0073428,9,7,16.77777777777778,72.85714285714286,0.216158,0.21530765,0.21700835000000004,0.25,0.2857142857142857,0.2222222222222222,0.5890700483091788
4472905,10.0,10.0,5,816,9,10,51.666666666666664,34.2,0.0148278,0.0144485,0.0165035,10,11,34.0,42.36363636363637,0.32363115000000003,0.32300802500000003,0.32425427500000004,0.631578947368421,0.6666666666666666,0.6,0.8018337587391295
4473229,10.0,10.0,5,673,6,6,43.5,67.66666666666667,0.0052502,0.0050434,0.0054213,4,5,21.25,116.8,0.17533364999999995,0.169667325,0.18099997499999998,0.2,0.16666666666666666,0.25,0.9047619047619048
4481970,10.0,10.0,5,642,10,11,26.6,33.27272727272727,0.0053177,0.004932199999999999,0.0054284,6,7,19.666666666666668,74.0,0.2642273,0.26146325,0.26699135,0.37499999999999994,0.3,0.5,0.6342345018815606
4482888,10.0,10.0,5,647,1,1,27.0,619.0,0.0028696,0.0025634,0.0030044,2,3,12.0,207.0,0.03598345000000001,0.035566525,0.036400375,0.0,0.0,0.0,0.0
4487550,10.0,10.0,5,653,9,9,30.11111111111111,41.44444444444444,0.0062952,0.006075399999999999,0.0075109,10,9,18.6,50.77777777777778,0.22836185,0.223795175,0.23292852499999997,0.631578947368421,0.6666666666666666,0.6,0.791933031772213
4487946,10.0,10.0,5,710,2,3,251.5,68.33333333333333,0.0434215,0.041780199999999997,0.0478446,3,4,153.33333333333334,61.75,0.46032080000000003,0.44045154999999997,0.4801900499999999,0.8,1.0,0.6666666666666666,0.898042273042273
4504164,10.0,10.0,5,649,10,10,38.4,25.5,0.0102917,0.009225299999999999,0.012657900000000001,9,10,15.0,50.5,0.3609233,0.35525515,0.36659144999999993,0.3157894736842105,0.3,0.3333333333333333,0.558531746031746
4527487,10.0,10.0,5,671,2,1,314.0,41.0,0.0191343,0.0187935,0.019665,10,11,12.6,48.63636363636363,0.5375189,0.5162429000000001,0.5587948999999999,0.0,0.0,0.0,0.0
4544584,10.0,10.0,5,672,9,10,32.44444444444444,37.1,0.0063363000000000004,0.005812699999999999,0.006694899999999999,8,9,19.875,56.111111111111114,0.282579,0.27211275,0.29304525,0.35294117647058826,0.3333333333333333,0.375,0.7701465201465202
4547202,10.0,10.0,5,696,11,11,38.18181818181818,24.09090909090909,0.0195437,0.019304,0.020015900000000003,13,12,19.23076923076923,36.083333333333336,0.43424015000000005,0.42767367500000003,0.44080662499999995,0.24999999999999994,0.2727272727272727,0.23076923076923078,0.7606541606541607
4559519,10.0,10.0,5,991,10,10,72.5,25.6,0.0751286,0.0633929,0.0806803,11,10,46.90909090909091,46.4,0.5789732999999999,0.5751531,0.5827935,0.47619047619047616,0.5,0.45454545454545453,0.7746563008217837
4575701,10.0,10.0,5,700,7,8,23.857142857142858,65.75,0.0047285,0.0047173,0.005241399999999999,5,6,16.0,102.5,0.24254930000000002,0.23718404999999998,0.24791454999999998,0.5,0.42857142857142855,0.6,0.8302469135802468
4579744,10.0,10.0,5,678,9,10,42.44444444444444,28.7,0.0132561,0.013226799999999999,0.0133,9,9,13.222222222222221,61.111111111111114,0.3264838,0.32484304999999997,0.32812455,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6528571428571428
4605892,10.0,10.0,5,678,3,2,224.0,1.5,0.021267,0.0192046,0.0229007,13,11,13.692307692307692,44.27272727272727,0.45928395000000005,0.4438204250000001,0.47474747500000003,0.0,0.0,0.0,0.0
4668185,10.0,10.0,5,641,8,8,37.75,41.375,0.0100166,0.0083677,0.0100485,8,8,15.25,63.875,0.26139585,0.257055725,0.26573597499999996,0.125,0.125,0.125,0.5757575757575758
4705097,10.0,10.0,5,659,8,8,33.875,47.5,0.0081122,0.006251,0.0127782,5,6,16.8,95.0,0.2904111,0.28905535,0.29176685,0.4615384615384615,0.375,0.6,0.8636111111111111
4724133,10.0,10.0,5,650,6,6,38.166666666666664,69.16666666666667,0.004943100000000001,0.0048628000000000005,0.005028899999999999,5,5,16.2,112.8,0.20178335000000003,0.20132927500000003,0.202237425,0.1818181818181818,0.16666666666666666,0.2,0.8636363636363636
4749525,10.0,10.0,5,805,4,5,80.0,96.2,0.0210495,0.0161024,0.0213065,8,9,35.75,56.77777777777778,0.33408575,0.33255822500000004,0.335613275,0.5,0.75,0.375,0.7890834111422347
4754626,10.0,10.0,5,1144,9,9,89.0,37.111111111111114,0.0896441,0.08910280000000001,0.0899555,12,12,58.916666666666664,35.416666666666664,0.6742738499999998,0.660189975,0.688357725,0.5714285714285715,0.6666666666666666,0.5,0.8173243089455694
4754956,10.0,10.0,5,647,8,8,37.5,42.375,0.012974999999999999,0.012292899999999999,0.013285100000000001,6,6,23.333333333333332,83.5,0.27338730000000006,0.26540645,0.28136815000000004,0.42857142857142855,0.375,0.5,0.6999398073836276
4775763,10.0,10.0,5,718,10,10,35.8,35.0,0.0173605,0.0169637,0.0178498,10,11,20.0,46.18181818181818,0.3886602,0.38219480000000006,0.3951256,0.20000000000000004,0.2,0.2,0.7539525691699605
4785421,10.0,10.0,5,773,11,11,40.63636363636363,28.636363636363637,0.024153400000000002,0.0208496,0.0256425,13,13,23.23076923076923,35.23076923076923,0.44471095,0.44375927499999995,0.44566262500000003,0.41666666666666663,0.45454545454545453,0.38461538461538464,0.7184836979107635
4789937,10.0,10.0,5,678,11,10,30.363636363636363,33.3,0.0117364,0.0108239,0.012638,9,9,13.333333333333334,61.0,0.3552252,0.34204949999999995,0.3684009,0.39999999999999997,0.36363636363636365,0.4444444444444444,0.6559027777777777
4792515,10.0,10.0,5,705,9,9,65.22222222222223,12.11111111111111,0.024315800000000002,0.0226227,0.024427599999999997,11,11,13.454545454545455,49.63636363636363,0.4744366,0.4657390999999999,0.4831341,0.09999999999999999,0.1111111111111111,0.09090909090909091,0.9230769230769231
4811115,10.0,10.0,5,643,6,6,33.833333333333336,72.33333333333333,0.0094896,0.0094124,0.009518700000000001,10,10,15.6,47.7,0.28405145000000004,0.272957075,0.29514582500000003,0.37499999999999994,0.5,0.3,0.85
4824328,10.0,10.0,5,688,7,6,58.142857142857146,45.666666666666664,0.011798200000000002,0.010354299999999999,0.0189287,15,16,14.4,28.5625,0.4213174499999999,0.417831875,0.4248030249999999,0.18181818181818182,0.2857142857142857,0.13333333333333333,0.8897435897435897
4861227,10.0,10.0,5,710,8,9,65.125,20.11111111111111,0.0200538,0.020008400000000003,0.0201695,11,12,16.636363636363637,43.0,0.48528469999999996,0.47239784999999995,0.4981715500000001,0.10526315789473685,0.125,0.09090909090909091,0.9642857142857143
4861687,10.0,10.0,5,746,9,8,53.0,32.5,0.019002599999999998,0.0188436,0.019019099999999997,11,11,17.363636363636363,49.45454545454545,0.4204806,0.41576675,0.42519445,0.19999999999999998,0.2222222222222222,0.18181818181818182,0.7731481481481481
4862222,10.0,10.0,5,670,4,4,48.5,118.0,0.0099629,0.009889,0.010128799999999999,2,3,11.0,215.33333333333334,0.1685649,0.16787240000000003,0.1692574,0.0,0.0,0.0,0.0
4862380,10.0,10.0,5,660,8,9,30.25,45.55555555555556,0.008941600000000001,0.0084651,0.0090414,8,8,15.0,66.5,0.2676798,0.26536475,0.26999485,0.625,0.625,0.625,0.7974796942188246
4865550,10.0,10.0,5,642,8,8,36.875,42.375,0.0081448,0.0069694,0.010968,5,6,16.0,92.83333333333333,0.35226769999999996,0.3231344,0.381401,0.15384615384615385,0.125,0.2,0.875
4865558,10.0,10.0,5,649,6,7,36.5,60.57142857142857,0.008936399999999999,0.0088237,0.0104198,9,9,14.222222222222221,56.888888888888886,0.4242309,0.3904142,0.45804760000000005,0.0,0.0,0.0,0.0
4912927,10.0,10.0,5,674,2,2,31.0,305.0,0.0055668,0.005136399999999999,0.005662999999999999,2,2,11.5,324.5,0.0797409,0.07850555000000001,0.08097625,0.0,0.0,0.0,0.0
4915833,10.0,10.0,5,675,10,10,32.7,33.8,0.008946899999999999,0.0085261,0.0090285,5,5,25.6,108.4,0.3094174,0.308443,0.3103918,0.26666666666666666,0.2,0.4,0.8281086729362591
4940890,10.0,10.0,5,683,7,7,36.714285714285715,59.857142857142854,0.0131975,0.012649,0.013348700000000002,6,7,23.5,76.57142857142857,0.26214725,0.260909175,0.263385325,0.4615384615384615,0.42857142857142855,0.5,0.7816993464052288
5244934,10.0,10.0,5,656,10,10,47.5,17.1,0.0093508,0.0090395,0.014427,9,10,15.88888888888889,50.4,0.41132669999999993,0.4008777499999999,0.42177565,0.10526315789473685,0.1,0.1111111111111111,0.8275862068965517
