eps_m,t_s,min_samples,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,step_n_stops_mean,step_n_stops_median,step_n_stops_std,step_n_stops_min,step_n_stops_max,step_n_moves_mean,step_n_moves_median,step_n_moves_std,step_n_moves_min,step_n_moves_max,step_mean_stop_s_mean,step_mean_stop_s_median,step_mean_stop_s_std,step_mean_stop_s_min,step_mean_stop_s_max,step_mean_move_pts_mean,step_mean_move_pts_median,step_mean_move_pts_std,step_mean_move_pts_min,step_mean_move_pts_max,step_wall_s_mean,step_wall_s_median,step_wall_s_std,step_wall_s_min,step_wall_s_max,step_wall_p25_s_mean,step_wall_p25_s_median,step_wall_p25_s_std,step_wall_p25_s_min,step_wall_p25_s_max,step_wall_p75_s_mean,step_wall_p75_s_median,step_wall_p75_s_std,step_wall_p75_s_min,step_wall_p75_s_max,stss_n_stops_mean,stss_n_stops_median,stss_n_stops_std,stss_n_stops_min,stss_n_stops_max,stss_n_moves_mean,stss_n_moves_median,stss_n_moves_std,stss_n_moves_min,stss_n_moves_max,stss_mean_stop_s_mean,stss_mean_stop_s_median,stss_mean_stop_s_std,stss_mean_stop_s_min,stss_mean_stop_s_max,stss_mean_move_pts_mean,stss_mean_move_pts_median,stss_mean_move_pts_std,stss_mean_move_pts_min,stss_mean_move_pts_max,stss_wall_s_mean,stss_wall_s_median,stss_wall_s_std,stss_wall_s_min,stss_wall_s_max,stss_wall_p25_s_mean,stss_wall_p25_s_median,stss_wall_p25_s_std,stss_wall_p25_s_min,stss_wall_p25_s_max,stss_wall_p75_s_mean,stss_wall_p75_s_median,stss_wall_p75_s_std,stss_wall_p75_s_min,stss_wall_p75_s_max,f1_mean,f1_median,f1_std,f1_min,f1_max,precision_mean,precision_median,precision_std,precision_min,precision_max,recall_mean,recall_median,recall_std,recall_min,recall_max,matched_iou_mean_mean,matched_iou_mean_median,matched_iou_mean_std,matched_iou_mean_min,matched_iou_mean_max,passes_plan_heuristic,step_ms_per_point_median
10.0,15.0,8,100,443.41,399.0,181.22055845869366,216.0,989.0,3.16,3.0,2.2460740158882753,0.0,10.0,3.49,3.0,2.1057640951071477,1.0,10.0,27.435373015873015,25.666666666666668,18.720309668543827,0.0,125.8,146.30581746031746,84.9,138.54028849379762,23.333333333333332,617.0,0.00370249,0.0024245,0.005763188778853862,0.0009365,0.0416201,0.003598191,0.00234685,0.005708608750358151,0.0009320000000000001,0.0413391,0.003872365,0.0025584,0.00584341715444686,0.0010422,0.042968599999999996,3.62,3.0,2.304058781517275,0.0,10.0,4.01,4.0,2.222452008321649,1.0,10.0,20.562531746031745,20.69047619047619,7.092023198016787,0.0,62.111111111111114,130.84524206349207,82.83333333333334,127.95096024089385,19.833333333333332,617.0,0.0994556265,0.082272975,0.07791442939243902,0.0044167,0.4512788,0.09851220525,0.08081223750000001,0.07726822444985192,0.00438355,0.44724845,0.10039904775,0.0850002625,0.07858317602548003,0.004449849999999999,0.45530914999999994,0.5811402048244153,0.6,0.31928309425533463,0.0,1.0,0.6237844611528822,0.6666666666666666,0.3409611056190071,0.0,1.0,0.579076858813701,0.6,0.33965872578352635,0.0,1.0,0.7674100570949602,0.8936678614097969,0.30772497906312135,0.0,1.0,1,0.006076441102756892
15.0,15.0,8,100,443.41,399.0,181.22055845869366,216.0,989.0,3.49,3.0,2.3071912172880933,0.0,10.0,3.68,3.0,2.2736079101931645,1.0,11.0,30.37640873015873,26.708333333333336,18.87042955037835,0.0,127.6,136.62754473304474,81.83333333333334,138.80572788405937,20.333333333333332,617.0,0.00483676,0.00345805,0.005648683199282695,0.0013436,0.042871900000000004,0.004398956,0.00303535,0.005438728211656349,0.0012915,0.0425586,0.005333748,0.0037354,0.00601431770340333,0.001345,0.0446326,4.45,4.0,2.5598887286423806,0.0,12.0,4.7,4.0,2.467976720090587,1.0,13.0,21.583876984126984,21.6,6.3761739418161705,0.0,59.6,104.96078363303363,64.33333333333333,114.4141552840649,18.0,617.0,0.1443338185,0.116510575,0.10276993019076337,0.008001349999999999,0.54282515,0.14251269875,0.11608816250000001,0.10151623030236083,0.007581475000000001,0.5388988250000001,0.14615493825,0.1169329875,0.10406626770209437,0.008421225000000001,0.5467514750000001,0.5789774913414439,0.6,0.2792140762557814,0.0,1.0,0.670696285387007,0.6666666666666666,0.31009154906255854,0.0,1.0,0.5463140238913434,0.5,0.29804353523738464,0.0,1.0,0.8082544729211665,0.8927803379416283,0.2505107742933357,0.0,1.0,1,0.008666791979949875
10.0,30.0,15,100,443.41,399.0,181.22055845869366,216.0,989.0,1.0,0.5,1.348399724926484,0.0,6.0,1.84,1.0,1.2036980056845192,1.0,7.0,24.8805,15.5,30.931810530027892,0.0,162.0,279.2434761904762,249.0,166.3669313274195,41.333333333333336,617.0,0.004034378,0.0026986000000000002,0.005772336335034856,0.0008776999999999999,0.0409633,0.003857485,0.002568,0.005641268065420606,0.0008764999999999999,0.0402068,0.004299133,0.00292415,0.005983782354351931,0.0008974,0.0428415,1.19,1.0,1.4543213211152841,0.0,6.0,2.03,2.0,1.3592555894958673,1.0,7.0,24.247166666666665,31.0,23.872194901642324,0.0,132.0,262.51533333333333,219.0,173.41583741939908,45.666666666666664,617.0,0.084264955,0.06624682500000001,0.07192916284983306,0.00576575,0.41510205,0.083295231,0.0645579875,0.07131711549312938,0.0052514250000000005,0.408911925,0.085234679,0.0679356625,0.07256396145095183,0.0062800749999999995,0.421292175,0.5186813186813187,0.6666666666666666,0.418650560372948,0.0,1.0,0.5556410256410257,0.6666666666666666,0.4495394723263878,0.0,1.0,0.5202564102564102,0.5,0.4332080378522876,0.0,1.0,0.5736370805935688,0.8451559934318555,0.43711288007973653,0.0,1.0,0,0.006763408521303259
15.0,60.0,30,100,443.41,399.0,181.22055845869366,216.0,989.0,0.19,0.0,0.5630903187506486,0.0,2.0,1.16,1.0,0.4865877893737951,1.0,3.0,12.17,0.0,41.154870104683035,0.0,260.5,389.94,321.5,162.84640625885905,115.0,645.0,0.004058649,0.00278365,0.005075126044162884,0.0011529,0.0377928,0.003860829,0.0025765,0.004905742913050834,0.0011144,0.035646699999999996,0.00433904,0.0030901,0.00517555757004094,0.0011918,0.0378649,0.25,0.0,0.6571287406727709,0.0,3.0,1.22,1.0,0.5959458995173262,1.0,4.0,12.658333333333333,0.0,30.9708180140984,0.0,169.66666666666666,379.9058333333333,308.0,171.39792580295912,101.0,989.0,0.0610091,0.032685849999999995,0.0770177316377052,0.00361645,0.41840005,0.059908613,0.03235765,0.07587485649041315,0.003532125,0.417948125,0.062109587,0.0332327375,0.07821033576888414,0.003686125,0.41885197500000004,0.5098039215686274,0.6666666666666666,0.4654395631315677,0.0,1.0,0.5294117647058824,0.5,0.4831727251749018,0.0,1.0,0.5098039215686274,0.6666666666666666,0.47313445145151584,0.0,1.0,0.5340128537160155,0.8857142857142857,0.46571571195122075,0.0,0.9826625386996903,0,0.0069765664160401
20.0,30.0,15,100,443.41,399.0,181.22055845869366,216.0,989.0,1.35,1.0,1.5529379129946443,0.0,7.0,2.11,2.0,1.4134634016764593,1.0,8.0,33.28180952380952,35.25,32.699080516723726,0.0,153.5,241.55666666666667,205.75,166.3577348112723,25.666666666666668,617.0,0.0041758229999999995,0.0030781999999999997,0.0045218075919656936,0.0011172,0.0313187,0.004046221,0.00276645,0.004447804712355469,0.0011072,0.0307431,0.004440348,0.0033556000000000002,0.004539992015066177,0.0011274000000000002,0.0314917,1.83,1.0,1.769865600101952,0.0,7.0,2.57,2.0,1.6221634139056833,1.0,7.0,29.576666666666668,35.41666666666667,22.749666165346067,0.0,138.75,207.46511904761905,135.25,170.72130757627417,32.8,617.0,0.1046212485,0.090666825,0.07998697943571546,0.0065695,0.42354955000000005,0.10303459075,0.089521,0.07869189262698117,0.006541449999999999,0.422907975,0.10620790625,0.09313724999999998,0.08143716563141488,0.00659755,0.42419112500000006,0.5271814442867074,0.6666666666666666,0.3838745176035721,0.0,1.0,0.6057957393483709,0.775,0.43627994083668914,0.0,1.0,0.5047305764411028,0.5,0.3927661257569309,0.0,1.0,0.6065957984709391,0.8313008130081301,0.4119758416330523,0.0,1.0,0,0.007714786967418546
30.0,30.0,15,100,443.41,399.0,181.22055845869366,216.0,989.0,1.7,1.0,1.7494587907710375,0.0,7.0,2.42,2.0,1.6154556538936529,1.0,8.0,39.46192857142857,39.66666666666667,35.36230793674702,0.0,187.0,210.5785,148.16666666666669,168.32934597562746,17.833333333333332,617.0,0.00626028,0.00426315,0.0062855638685206695,0.0013317000000000001,0.037295800000000004,0.005937472,0.0040678,0.0060111692394633764,0.0013146,0.0367676,0.006725536,0.0044535,0.006593648952682889,0.0013399,0.038877699999999994,2.33,2.0,1.928284944784569,0.0,9.0,2.99,3.0,1.8284784202536637,1.0,9.0,33.71222222222222,38.16666666666667,21.08659557105064,0.0,142.5,169.12862698412698,109.83333333333334,154.99712928128085,30.75,617.0,0.1740150495,0.133109325,0.16126552876541728,0.0048689,1.0314763,0.16723077475,0.13094509999999998,0.15062391522840443,0.00473765,0.9337599999999999,0.18079932425,0.1358771125,0.1725449715263068,0.005000149999999999,1.1291925999999999,0.5352143171420279,0.6666666666666666,0.35600173840456595,0.0,1.0,0.6290877796901894,0.8,0.4168587657710751,0.0,1.0,0.5163893669917766,0.5,0.37675218395511373,0.0,1.0,0.639810799543591,0.8461538461538461,0.3807666685777959,0.0,0.975,0,0.010684586466165413
10.0,10.0,5,100,443.41,399.0,181.22055845869366,216.0,989.0,4.28,4.0,2.6783079235467557,0.0,11.0,4.41,4.0,2.617327652473805,1.0,11.0,26.15640007215007,24.0,15.988802915828929,0.0,125.8,114.21833333333333,66.85714285714286,129.2081358945886,17.25,617.0,0.004142246,0.00260965,0.006706226932273881,0.0009735,0.0474935,0.004003042,0.0026052,0.006559297705604117,0.0009674999999999999,0.04661,0.004359275,0.0027654000000000003,0.0068778575460173704,0.0009781000000000002,0.0492095,5.93,6.0,3.361261788091015,0.0,15.0,6.01,5.0,3.2364558493275424,1.0,14.0,16.386163614163614,16.0,5.977873444538209,0.0,51.0,87.8682334887335,48.375,113.66418884517034,12.875,617.0,0.1369319185,0.11172805,0.1025196301325861,0.00589435,0.5332347499999999,0.13570238025,0.111249925,0.1017294489045611,0.005482775,0.5321371249999999,0.13816145675,0.11220617499999999,0.10333437415828588,0.006305925,0.534332375,0.5491054256626069,0.5714285714285715,0.2869085535834795,0.0,1.0,0.6562763124618795,0.6666666666666666,0.3177823785549938,0.0,1.0,0.500775398713543,0.5,0.29406864103023483,0.0,1.0,0.7941203215373835,0.8634191176470589,0.24016261912674758,0.0,1.0,0,0.0065404761904761894
15.0,30.0,15,100,443.41,399.0,181.22055845869366,216.0,989.0,1.17,1.0,1.4217289232878156,0.0,6.0,1.97,1.0,1.3062012158016145,1.0,7.0,28.579166666666666,33.75,30.240471444993847,0.0,151.5,263.68142857142857,239.0,169.8377018579789,33.0,617.0,0.004554862,0.00327675,0.005993138692912155,0.0010949,0.043953900000000004,0.004292149,0.00301615,0.005836437975314735,0.001072,0.0435074,0.004882546,0.0034881,0.006200298057081652,0.00111,0.0455372,1.59,1.0,1.6702688345886059,0.0,7.0,2.39,2.0,1.562793406795419,1.0,8.0,28.45452380952381,33.83333333333333,23.176656498165435,0.0,134.5,224.73509523809523,166.25,170.09259644035626,33.8,617.0,0.1034507815,0.077546,0.08771910454348869,0.00428805,0.48297650000000003,0.10222172025,0.075247625,0.08689893669285305,0.004174925,0.47018695,0.10467984275,0.079,0.08856226984135004,0.004401175,0.49576605000000007,0.5138073494237878,0.5714285714285715,0.3982620980683939,0.0,1.0,0.5883561643835616,0.75,0.4424145042912878,0.0,1.0,0.4988910632746249,0.5,0.4118845153203272,0.0,1.0,0.5988042050175496,0.8456416464891041,0.4216800824447657,0.0,1.0,0,0.008212406015037593
20.0,15.0,8,100,443.41,399.0,181.22055845869366,216.0,989.0,3.7,3.0,2.3591643786850813,0.0,10.0,3.81,3.0,2.303686110773275,1.0,10.0,32.58269047619048,28.333333333333332,19.274888120436934,0.0,129.2,124.76746428571428,76.5,135.93231309132167,17.0,617.0,0.004131011,0.00278585,0.004782271699100668,0.0011515,0.0349886,0.004003377,0.0026448,0.004705572761321614,0.0011214,0.0341768,0.004335117,0.0030801000000000005,0.004817180034675449,0.0012727,0.035582199999999994,5.2,5.0,2.919803507986886,0.0,13.0,5.3,5.0,2.754243741185334,1.0,14.0,22.12438467088467,21.845238095238095,6.44232226094355,0.0,60.9,91.29750685425685,54.16666666666667,113.24973469681149,15.125,617.0,0.1364682325,0.1154231,0.09201774707158325,0.00521095,0.46429235,0.13529873575,0.11488985,0.09110705176193871,0.005114475,0.462718825,0.13763772925,0.116218525,0.09300961056604526,0.005307424999999999,0.465865875,0.5619186386014767,0.5714285714285715,0.27085145941409644,0.0,1.0,0.6851006381934217,0.75,0.30696708632358694,0.0,1.0,0.5074945100718297,0.5,0.27791134108411136,0.0,1.0,0.7945832846368864,0.8721816378066377,0.24286577544610394,0.0,1.0,0,0.006982080200501253
30.0,15.0,8,100,443.41,399.0,181.22055845869366,216.0,989.0,4.13,3.5,2.553092796645439,0.0,11.0,4.15,4.0,2.4592640765033345,1.0,10.0,37.58489574314574,32.07142857142857,26.595219865578976,0.0,207.0,104.64305952380953,60.55952380952381,119.32703053497943,7.0,617.0,0.006022422,0.00434825,0.005938111625498872,0.0013862,0.0413791,0.005727983,0.003954050000000001,0.005872383207314256,0.0013357,0.040912800000000006,0.006361772,0.004726,0.0060449797637425196,0.0015130999999999999,0.042639300000000005,7.03,6.0,3.6333333333333333,0.0,16.0,6.58,6.5,3.1468438573634794,1.0,16.0,22.94924762737263,22.846590909090907,5.214399027780416,0.0,56.666666666666664,57.82854582917083,35.785714285714285,74.71639858490026,12.222222222222221,578.0,0.234907573,0.18919595,0.17002104325493056,0.018844549999999998,0.94171815,0.226963824,0.18447257500000003,0.1602716946233769,0.017832825,0.891363025,0.242851322,0.19159475,0.1803291307209644,0.019856275000000003,0.9920732749999999,0.49639994718577013,0.5000000000000001,0.24824637148290404,0.0,1.0,0.6812479047327532,0.6666666666666666,0.30521024263267704,0.0,1.0,0.4173544749302325,0.42857142857142855,0.23995278626918387,0.0,1.0,0.7561946277461918,0.8371048834206729,0.25439475681307017,0.0,1.0,0,0.010897869674185462
