trajectory,eps_m,t_s,min_samples,n_points,step_n_stops,step_n_moves,step_mean_stop_s,step_mean_move_pts,step_wall_s,step_wall_p25_s,step_wall_p75_s,stss_n_stops,stss_n_moves,stss_mean_stop_s,stss_mean_move_pts,stss_wall_s,stss_wall_p25_s,stss_wall_p75_s,f1,precision,recall,matched_iou_mean
10752853,10.0,10.0,5,615,1,2,48.0,283.0,0.0029588,0.0028523000000000008,0.0029592,1,2,20.0,297.0,0.05759620000000001,0.0572263,0.0579661,0.0,0.0,0.0,0.0
10752864,10.0,10.0,5,232,6,6,19.166666666666668,18.5,0.0017637,0.0016990999999999998,0.0018404,8,8,15.125,12.875,0.13271634999999998,0.132618575,0.132814125,0.7142857142857143,0.8333333333333334,0.625,0.8670212630506748
10752951,10.0,10.0,5,610,0,1,0.0,610.0,0.0024564,0.0023913000000000003,0.0026048,0,1,0.0,610.0,0.0171256,0.016762700000000002,0.0174885,nan,nan,nan,nan
10892045,10.0,10.0,5,323,7,6,20.714285714285715,28.5,0.0023244,0.0022261,0.0026026,8,6,18.0,28.5,0.1280889,0.12747819999999999,0.1286996,0.7999999999999999,0.8571428571428571,0.75,0.844854656819311
10934834,10.0,10.0,5,242,2,2,22.0,98.0,0.0014443,0.0014177,0.0014995,4,4,18.25,41.25,0.05871745,0.058499875,0.058935025,0.6666666666666666,1.0,0.5,0.953125
10934933,10.0,10.0,5,423,7,7,19.428571428571427,40.0,0.0027216,0.0027197,0.003459699999999999,8,8,20.375,31.5,0.147349,0.14579875,0.14889925,0.7999999999999999,0.8571428571428571,0.75,0.8716140441683918
10935081,10.0,10.0,5,278,4,4,24.75,43.75,0.0018516,0.0018282000000000003,0.0020169000000000003,4,4,20.25,48.25,0.11172284999999998,0.11134057500000001,0.11210512499999999,0.75,0.75,0.75,0.7761136712749616
10935136,10.0,10.0,5,308,2,2,29.5,123.5,0.0032684000000000003,0.002808,0.0036466,4,4,14.0,62.0,0.09370115,0.09278997500000001,0.094612325,0.3333333333333333,0.5,0.25,0.9411764705882353
10935148,10.0,10.0,5,237,3,2,61.666666666666664,24.5,0.0031075,0.0030061999999999997,0.003348,9,5,14.88888888888889,18.8,0.1682865,0.1556994,0.18087359999999997,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.7777777777777778
10935358,10.0,10.0,5,636,10,10,24.8,37.8,0.0069765,0.0068467,0.0077206,10,11,13.8,44.36363636363637,0.35049675,0.346971825,0.354021675,0.4000000000000001,0.4,0.4,0.8634191176470589
10935638,10.0,10.0,5,228,1,1,14.0,213.0,0.0014214000000000002,0.0013590999999999998,0.0021629,4,4,12.25,43.75,0.0831867,0.08298254999999999,0.08339085,0.4,1.0,0.25,1.0
10935844,10.0,10.0,5,607,1,2,24.0,291.0,0.0027546,0.0027205,0.0030571,2,3,18.5,189.33333333333334,0.04821600000000001,0.0477111,0.048720900000000004,0.6666666666666666,1.0,0.5,0.96
10969051,10.0,10.0,5,601,0,1,0.0,601.0,0.0024977,0.0024906999999999998,0.0025754000000000003,1,2,12.0,294.0,0.03511165,0.034942625,0.035280675,0.0,0.0,0.0,0.0
11058912,10.0,10.0,5,601,1,2,18.0,291.0,0.0031136,0.0027340999999999997,0.003114,2,3,17.0,188.33333333333334,0.0489276,0.04782354999999999,0.050031650000000004,0.6666666666666666,1.0,0.5,0.8571428571428571
11071635,10.0,10.0,5,423,5,5,24.4,59.2,0.0027691,0.0027599,0.0029213000000000004,9,8,16.666666666666668,33.0,0.15901695000000002,0.156334175,0.16169972500000002,0.5714285714285714,0.8,0.4444444444444444,0.9167559523809523
11071677,10.0,10.0,5,459,6,6,24.333333333333332,51.166666666666664,0.0037131,0.0036382,0.0037711,9,8,19.0,34.875,0.13139340000000002,0.1311035,0.13168330000000003,0.8,1.0,0.6666666666666666,0.8252136752136753
