strategy,capacity,dp_epsilon_m,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_mean_sed_m_mean,move_mean_sed_m_median,move_mean_sed_m_std,move_mean_sed_m_min,move_mean_sed_m_max,move_max_sed_m_mean,move_max_sed_m_median,move_max_sed_m_std,move_max_sed_m_min,move_max_sed_m_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,eviction_hit_rate_mean,eviction_hit_rate_median,eviction_hit_rate_std,eviction_hit_rate_min,eviction_hit_rate_max,passes_sed_budget
squish_dp,50,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.77,6.0,4.375909717828495,2.0,19.0,59.26809056779993,50.91666666666667,31.96392882945679,16.5,228.5,54.66315166051146,44.7491907496009,35.7112921889842,16.563722850620263,267.18521625592183,169.32513248535184,140.64770067822866,95.31271751896662,45.39342660698051,625.715563494657,13.216251718727387,13.264559185107132,3.642994168110621,4.992424242424242,21.38438095238095,0.8758571428571429,1.0,0.20813029204283914,0.2857142857142857,1.0,0
squish_dp,100,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.93,6.0,4.577624543870594,2.0,21.0,58.50890902711839,50.18055555555556,31.869964921705517,16.5,228.5,53.17042389925722,43.82758614676901,35.87347625746888,16.683194792586978,267.18521625592183,165.7564341379132,141.85522801934133,91.87193813076463,45.39342660698051,625.715563494657,9.230812236126601,9.360461399240794,3.5285312531879334,0.6087155963302752,17.667874794069192,0.7645952380952381,1.0,0.3185895599401825,0.0,1.0,0
pure_dp,0,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.9,6.0,4.5427264540541765,2.0,20.0,58.71301974972911,49.08888888888889,32.074316904891,16.5,228.5,53.53374806340891,43.82758614676901,35.8507999164016,16.683194792586978,267.18521625592183,166.4000629114542,142.80279290760873,92.25717617655819,45.39342660698051,625.715563494657,1.879298195289133,1.7784556890826293,0.9081654595465056,0.5918681318681319,4.234623655913978,nan,nan,nan,nan,nan,0
squish_dp,200,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.92,6.0,4.547571224335474,2.0,20.0,58.47960949331886,49.08888888888889,31.779289068743036,16.5,228.5,53.531676194197544,44.05547959964623,35.873004042612834,16.683194792586978,267.18521625592183,166.5324568347374,142.80279290760873,92.45478568274284,45.39342660698051,625.715563494657,6.636722426857358,6.957427100934782,3.96647616445,0.6335616438356164,15.075374376039932,0.6181666666666666,1.0,0.432757290006618,0.0,1.0,0
squish_dp,500,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.9,6.0,4.5427264540541765,2.0,20.0,58.71301974972911,49.08888888888889,32.074316904891,16.5,228.5,53.533925271699715,43.82758614676901,35.85071926924422,16.683194792586978,267.18521625592183,166.4000629114542,142.80279290760873,92.25717617655819,45.39342660698051,625.715563494657,2.7448422019032623,1.7200776297410552,2.87595133634739,0.6066326530612245,11.53888888888889,0.145,0.0,0.3502884814007166,0.0,1.0,0
squish_dp,1000,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.9,6.0,4.5427264540541765,2.0,20.0,58.71301974972911,49.08888888888889,32.074316904891,16.5,228.5,53.53374806340891,43.82758614676901,35.8507999164016,16.683194792586978,267.18521625592183,166.4000629114542,142.80279290760873,92.25717617655819,45.39342660698051,625.715563494657,1.9275338865510179,1.7125555555555554,0.9454188671478,0.6232456140350877,4.503809523809524,0.0,0.0,0.0,0.0,0.0,0
squish_dp,2000,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.9,6.0,4.5427264540541765,2.0,20.0,58.71301974972911,49.08888888888889,32.074316904891,16.5,228.5,53.53374806340891,43.82758614676901,35.8507999164016,16.683194792586978,267.18521625592183,166.4000629114542,142.80279290760873,92.25717617655819,45.39342660698051,625.715563494657,2.1119052610470344,1.8295439477871414,1.2881582154120297,0.6142201834862385,7.18585690515807,0.0,0.0,0.0,0.0,0.0,0
squish_dp,4000,50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,7.9,6.0,4.5427264540541765,2.0,20.0,58.71301974972911,49.08888888888889,32.074316904891,16.5,228.5,53.53374806340891,43.82758614676901,35.8507999164016,16.683194792586978,267.18521625592183,166.4000629114542,142.80279290760873,92.25717617655819,45.39342660698051,625.715563494657,1.891514601094895,1.7182649588808017,0.9442977230415797,0.6294820717131474,4.960500000000001,0.0,0.0,0.0,0.0,0.0,0
squish_dp,50,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.64,7.0,5.155207233095641,2.0,23.0,55.442487356681696,45.23214285714286,32.488711044125736,16.4,228.5,46.85320067885474,39.028677861388246,25.799909524994042,8.889111409949553,190.09758274557723,152.40727940688734,135.9268193923416,66.86253616735694,30.045325880476458,420.99622455043857,13.600278435912271,12.910336227001814,4.377320400346966,6.247247706422018,27.465753424657535,0.8758571428571429,1.0,0.20813029204283914,0.2857142857142857,1.0,0
pure_dp,0,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.84,7.0,5.58988986357233,2.0,25.0,55.14742170264376,43.714285714285715,32.70635445859019,16.4,228.5,45.918481891476816,38.98777698704466,26.30528276338985,8.889111409949553,190.09758274557723,150.6748114781631,135.9268193923416,63.07972731120952,30.045325880476458,372.391474339163,1.979295510423101,1.7686115880200477,1.011130859542373,0.6197368421052633,5.755906821963395,nan,nan,nan,nan,nan,0
