trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
10752853,pure_dp,0,5.0,615,2,1,565,34,16.61764705882353,22.089617537840397,133.94538766966352,3.2938053097345135,3.110442477876106,3.861061946902655,nan
10752864,pure_dp,0,5.0,232,2,1,187,9,20.77777777777778,19.286885606002436,59.21975742405411,4.897326203208556,4.706951871657754,4.902139037433155,nan
10752951,pure_dp,0,5.0,610,1,0,610,39,15.64102564102564,24.472020643193964,190.65768688614662,4.884918032786886,4.854098360655738,5.00983606557377,nan
10892045,pure_dp,0,5.0,323,2,1,282,11,25.636363636363637,28.679561866944933,97.35508908621483,2.3882978723404253,2.3836879432624114,2.397517730496454,nan
10934834,pure_dp,0,5.0,242,1,0,242,9,26.88888888888889,29.021090574295055,84.71139623224774,3.767768595041322,2.8615702479338845,4.9351239669421485,nan
10934933,pure_dp,0,5.0,423,1,0,423,9,47.0,31.6190347126478,106.92200686019928,2.6962174940898347,2.591016548463357,2.863356973995272,nan
10935081,pure_dp,0,5.0,278,1,0,278,6,46.333333333333336,44.21885851020785,122.54393153771836,2.366546762589928,1.997841726618705,3.801079136690648,nan
10935136,pure_dp,0,5.0,308,1,1,261,3,87.0,60.85163620407968,138.36283216062105,1.3394636015325672,1.3379310344827586,1.353639846743295,nan
10935148,pure_dp,0,5.0,237,2,3,66,4,16.5,20.54641712988889,52.437392740925276,0.6378787878787879,0.6318181818181818,0.6378787878787879,nan
10935358,pure_dp,0,5.0,636,4,3,506,29,17.448275862068964,14.988841194614063,85.61173753845598,2.616600790513834,2.570948616600791,2.717391304347826,nan
10935638,pure_dp,0,5.0,228,1,0,228,4,57.0,58.1990607481123,112.67885165823557,1.3912280701754385,1.380701754385965,1.7298245614035086,nan
10935844,pure_dp,0,5.0,607,1,0,607,34,17.852941176470587,16.306085526741477,142.48671479738425,5.411202635914333,4.671334431630972,5.440362438220758,nan
10969051,pure_dp,0,5.0,601,1,0,601,60,10.016666666666667,7.234437213676579,39.85447675332679,5.178868552412646,4.99783693843594,5.356738768718802,nan
11058912,pure_dp,0,5.0,601,1,0,601,49,12.26530612244898,12.925024581550458,83.38484316090218,4.871048252911813,4.739767054908485,5.153410981697171,nan
11071635,pure_dp,0,5.0,423,2,1,377,17,22.176470588235293,29.45417266889025,163.25993620388934,3.129973474801061,3.0517241379310347,3.814588859416445,nan
11071677,pure_dp,0,5.0,459,2,1,406,7,58.0,84.21877697609459,290.7070638981604,1.5073891625615763,1.5044334975369458,1.5142857142857142,nan
11071727,pure_dp,0,5.0,411,1,0,411,10,41.1,43.98123354859352,172.9202998774528,2.950608272506083,2.9430656934306567,3.0153284671532847,nan
11071733,pure_dp,0,5.0,257,1,0,257,13,19.76923076923077,17.165937222050864,64.19776314201546,3.4571984435797667,3.4560311284046694,3.7984435797665372,nan
11071965,pure_dp,0,5.0,535,3,2,448,16,28.0,33.1171090214666,124.95062712339885,2.0794642857142858,1.98125,2.279464285714286,nan
11092058,pure_dp,0,5.0,446,1,1,399,13,30.692307692307693,56.499574654932196,256.85620012607563,2.9751879699248116,2.859147869674185,3.0388471177944862,nan
11092072,pure_dp,0,5.0,247,1,0,247,18,13.722222222222221,14.1314911352421,53.84396506223313,3.383805668016194,3.3469635627530367,3.4012145748987854,nan
4300268,pure_dp,0,5.0,961,5,4,431,18,23.944444444444443,28.109495921908803,106.61596574724683,1.5533642691415313,1.5531322505800464,1.7614849187935036,nan
4303167,pure_dp,0,5.0,610,3,2,518,17,30.470588235294116,36.65176741534799,144.8531724758396,2.3689189189189186,2.3453667953667954,2.3984555984555986,nan
4303201,pure_dp,0,5.0,600,1,0,600,49,12.244897959183673,17.367593121860633,125.11379402149649,4.6818333333333335,4.667666666666666,4.691666666666666,nan
4326816,pure_dp,0,5.0,606,4,4,446,19,23.473684210526315,31.154633509671847,174.42698224621725,1.9033632286995514,1.8825112107623319,2.6356502242152464,nan
4453473,pure_dp,0,5.0,610,3,2,512,41,12.487804878048781,36.72559067085447,142.11900412662575,2.5072265625,2.4220703125,2.633203125,nan
4636267,pure_dp,0,5.0,624,4,3,474,25,18.96,19.238529867567546,78.11432812510847,2.289873417721519,2.2649789029535863,2.6021097046413506,nan
4652239,pure_dp,0,5.0,601,4,4,432,19,22.736842105263158,25.59941178595681,126.04616503938539,1.6949074074074075,1.694212962962963,1.7027777777777777,nan
4660369,pure_dp,0,5.0,640,3,2,523,38,13.763157894736842,15.141061831125908,77.38424942169497,3.6449330783938816,3.42887189292543,4.232313575525812,nan
4748312,pure_dp,0,5.0,624,5,4,435,16,27.1875,16.374977951921537,56.14593455541883,1.3972413793103446,1.3960919540229884,1.4096551724137931,nan
4748313,pure_dp,0,5.0,770,3,2,465,27,17.22222222222222,14.809004872077283,61.508918253362296,3.5946236559139786,3.4550537634408602,3.6103225806451613,nan
4779685,pure_dp,0,5.0,669,5,4,405,24,16.875,7.431199414048917,36.84572296690049,2.2217283950617284,2.2209876543209877,2.2269135802469133,nan
4792372,pure_dp,0,5.0,609,3,3,455,10,45.5,45.21662400924388,159.33572473859013,1.0465934065934066,1.0393406593406593,1.0707692307692307,nan
4793806,pure_dp,0,5.0,609,4,3,441,19,23.210526315789473,33.95789877958816,130.00936986780772,2.0682539682539685,2.009297052154195,2.190249433106576,nan
4798549,pure_dp,0,5.0,661,5,4,447,28,15.964285714285714,11.877003413988556,135.86342511559042,2.464429530201342,2.4539149888143177,2.4747203579418344,nan
4944723,pure_dp,0,5.0,650,5,5,292,26,11.23076923076923,6.593467640494859,31.81519408268973,2.540753424657534,2.53527397260274,2.6452054794520548,nan
4981908,pure_dp,0,5.0,251,1,0,251,5,50.2,102.74645328163959,231.0615049495124,1.5752988047808765,1.5729083665338646,1.5756972111553784,nan
5084249,pure_dp,0,5.0,600,1,0,600,29,20.689655172413794,43.32233657875685,306.09847681685676,4.1080000000000005,3.9531666666666667,4.364833333333333,nan
5133027,pure_dp,0,5.0,628,4,4,395,21,18.80952380952381,22.86652785756843,107.28687271563642,2.5815189873417723,2.5749367088607595,2.5855696202531644,nan
5285957,pure_dp,0,5.0,387,1,0,387,9,43.0,31.342604047847576,138.06689660384163,2.7888888888888888,2.778811369509044,2.990697674418605,nan
5286334,pure_dp,0,5.0,342,1,0,342,22,15.545454545454545,15.988631137799727,81.99466553299006,3.4707602339181287,3.3830409356725144,3.707017543859649,nan
5395622,pure_dp,0,5.0,231,2,1,198,16,12.375,21.78298353035234,114.14708398116879,2.878787878787879,2.861111111111111,2.918181818181818,nan
5538668,pure_dp,0,5.0,617,1,0,617,53,11.641509433962264,7.577900834656757,103.61570576985979,5.381199351701783,5.077471636952999,6.19837925445705,nan
5670672,pure_dp,0,5.0,264,3,2,145,11,13.181818181818182,2.643068396414345,11.17049400722078,2.1841379310344826,2.1703448275862067,2.193103448275862,nan
