trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
4216956,2.0,2,910,6,5,363,82,13.04191616766467,0.22589531680440772,0.02631578947368421,0.5384615384615384,7.301101928374656,nan,nan
4272243,2.0,2,646,2,1,600,275,6.976744186046512,0.4583333333333333,0.0,0.07253886010362694,8.368,nan,nan
4344977,2.0,2,1187,5,5,384,102,12.387096774193548,0.265625,0.009900990099009901,1.0,9.16015625,nan,nan
4350946,2.0,2,690,5,5,394,64,19.06451612903226,0.16243654822335024,0.016129032258064516,1.0,9.989593908629441,nan,nan
4351935,2.0,2,775,6,5,369,94,13.418181818181818,0.25474254742547425,0.03333333333333333,1.0,10.126016260162602,nan,nan
4352377,2.0,2,716,5,4,428,91,16.56774193548387,0.21261682242990654,0.0,0.9230769230769231,10.097196261682244,nan,nan
4358853,2.0,2,666,4,3,528,95,22.0,0.17992424242424243,0.024390243902439025,0.9166666666666666,9.365530303030303,nan,nan
4359232,2.0,2,681,3,2,590,198,9.725274725274724,0.33559322033898303,0.00510204081632653,0.11016949152542373,9.843389830508475,nan,nan
4370045,2.0,2,720,4,3,467,125,14.01,0.2676659528907923,0.0,1.0,11.532119914346895,nan,nan
4389353,2.0,2,650,5,4,462,126,13.137440758293838,0.2727272727272727,0.016129032258064516,1.0,12.891558441558441,nan,nan
4389414,2.0,2,645,5,5,422,99,16.23076923076923,0.23459715639810427,0.010638297872340425,0.9166666666666666,13.703791469194313,nan,nan
4392729,2.0,2,652,4,3,478,109,15.933333333333334,0.2280334728033473,0.009345794392523364,0.9333333333333333,11.64205020920502,nan,nan
4393045,2.0,2,936,4,3,438,88,18.771428571428572,0.2009132420091324,0.08955223880597014,1.0,10.959817351598172,nan,nan
4440451,2.0,2,657,3,2,546,162,14.181818181818182,0.2967032967032967,0.061068702290076333,1.0,13.417765567765569,nan,nan
4443744,2.0,2,710,7,6,399,126,11.29245283018868,0.3157894736842105,0.02564102564102564,0.8333333333333334,16.861152882205516,nan,nan
4448887,2.0,2,666,6,6,333,49,19.782178217821784,0.14714714714714713,0.13157894736842105,1.0,17.34024024024024,nan,nan
4469551,2.0,2,670,4,3,512,120,18.395209580838323,0.234375,0.13157894736842105,1.0,11.594921875,nan,nan
4472905,2.0,2,816,4,3,463,104,15.874285714285714,0.22462203023758098,0.04081632653061224,1.0,9.220950323974083,nan,nan
4473229,2.0,2,673,4,4,446,103,15.03370786516854,0.23094170403587444,0.020202020202020204,0.9375,12.209192825112108,nan,nan
4481970,2.0,2,642,3,2,494,81,23.15625,0.16396761133603238,0.012658227848101266,0.9,9.169028340080972,nan,nan
4482888,2.0,2,647,1,0,647,191,12.40255591054313,0.29520865533230295,0.0,0.5813953488372093,10.874652241112829,nan,nan
4487550,2.0,2,653,4,3,480,103,18.46153846153846,0.21458333333333332,0.03333333333333333,0.9166666666666666,11.669166666666666,nan,nan
4487946,2.0,2,710,2,1,227,87,10.55813953488372,0.3832599118942731,0.21568627450980393,1.0,21.899118942731278,nan,nan
4504164,2.0,2,649,5,5,364,77,14.756756756756756,0.21153846153846154,0.041666666666666664,0.9285714285714286,10.901098901098901,nan,nan
4527487,2.0,2,671,4,5,134,16,18.697674418604652,0.11940298507462686,0.06666666666666667,0.75,12.387313432835821,nan,nan
4544584,2.0,2,672,4,3,540,118,17.608695652173914,0.21851851851851853,0.017543859649122806,1.0,15.45148148148148,nan,nan
4547202,2.0,2,696,5,4,436,71,19.669172932330827,0.1628440366972477,0.045454545454545456,0.9166666666666666,13.079128440366972,nan,nan
4559519,2.0,2,991,6,5,358,79,15.020979020979022,0.2206703910614525,0.09375,1.0,13.069553072625697,nan,nan
4575701,2.0,2,700,2,1,657,254,10.88950276243094,0.3866057838660578,0.058823529411764705,0.96,9.32054794520548,nan,nan
4579744,2.0,2,678,6,5,377,92,13.544910179640718,0.2440318302387268,0.03614457831325301,1.0,14.12838196286472,nan,nan
4605892,2.0,2,678,2,3,41,5,12.947368421052632,0.12195121951219512,0.0,1.0,12.824390243902437,nan,nan
4668185,2.0,2,641,7,6,372,99,13.527272727272727,0.2661290322580645,0.023255813953488372,1.0,17.734139784946237,nan,nan
4705097,2.0,2,659,4,4,451,109,15.824561403508772,0.24168514412416853,0.01904761904761905,1.0,10.577827050997783,nan,nan
4724133,2.0,2,650,4,4,454,90,15.477272727272727,0.19823788546255505,0.011235955056179775,0.1956521739130435,11.614537444933921,nan,nan
4749525,2.0,2,805,3,2,526,85,23.036496350364963,0.16159695817490494,0.025,1.0,10.269011406844106,nan,nan
4754626,2.0,2,1144,5,4,433,91,17.917241379310344,0.21016166281755197,0.04054054054054054,1.0,8.833718244803695,nan,nan
4754956,2.0,2,647,5,4,419,113,12.958762886597938,0.26968973747016706,0.008928571428571428,1.0,15.314319809069213,nan,nan
4775763,2.0,2,718,6,5,449,98,15.050279329608939,0.2182628062360802,0.10344827586206896,0.9285714285714286,11.466815144766148,nan,nan
4785421,2.0,2,773,4,4,460,74,22.258064516129032,0.1608695652173913,0.06153846153846154,1.0,10.699782608695651,nan,nan
4789937,2.0,2,678,4,4,524,100,19.40740740740741,0.19083969465648856,0.010309278350515464,0.9230769230769231,10.868129770992367,nan,nan
4792515,2.0,2,705,7,6,236,35,17.06024096385542,0.1483050847457627,0.11538461538461539,0.875,13.540677966101695,nan,nan
4811115,2.0,2,643,4,3,483,73,21.789473684210527,0.15113871635610765,0.013888888888888888,0.7333333333333333,9.295859213250516,nan,nan
4824328,2.0,2,688,4,3,355,55,21.95876288659794,0.15492957746478872,0.061224489795918366,0.875,9.707887323943662,nan,nan
4861227,2.0,2,710,7,6,240,41,15.652173913043478,0.17083333333333334,0.058823529411764705,0.8888888888888888,14.381666666666666,nan,nan
4861687,2.0,2,746,8,7,302,83,11.185185185185185,0.27483443708609273,0.11764705882352941,0.9230769230769231,15.17814569536424,nan,nan
