trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
4216956,1.0,910,6,5,545,82,6.646341463414634,2.798008062289508,26.707358804118282,7.828990825688074,6.4568807339449545,7.892660550458715
4272243,1.0,646,3,2,564,160,3.525,1.3865823624455287,14.790000104634732,11.022163120567376,10.921099290780141,11.120567375886525
4344977,1.0,1187,6,5,508,74,6.864864864864865,1.8900045677814772,18.24269052564961,7.928937007874016,7.161811023622047,7.956692913385827
4350946,1.0,690,5,5,432,98,4.408163265306122,1.2775078375759392,13.481048922108858,5.750462962962962,5.059259259259259,6.411342592592592
4351935,1.0,775,2,1,719,99,7.262626262626263,1.8506515155689836,40.386059931174685,11.513073713490959,11.068011126564672,11.554659248956883
4352377,1.0,716,4,3,586,87,6.735632183908046,1.7475279734162947,24.257096441471607,8.990955631399316,8.902389078498294,9.566211604095564
4358853,1.0,666,2,1,614,116,5.293103448275862,0.9982625748742752,7.106699759069656,11.139739413680783,10.893811074918567,12.315309446254073
4359232,1.0,681,4,3,575,111,5.18018018018018,3.2922720533896057,30.0154432774607,5.905739130434783,5.66991304347826,9.358260869565218
4370045,1.0,720,3,2,620,102,6.078431372549019,2.3018910660961396,23.06309846242773,4.900483870967742,4.80516129032258,4.983064516129033
4389353,1.0,650,5,4,492,88,5.590909090909091,3.973949598805358,36.575899217639844,4.332520325203252,4.289430894308944,6.563821138211383
4389414,1.0,645,3,4,469,57,8.228070175438596,4.756664267420695,24.718504211416523,8.59317697228145,8.57356076759062,8.642857142857142
4392729,1.0,652,3,2,586,67,8.746268656716419,5.219297595114688,88.368067070753,9.589419795221842,9.568430034129694,9.620989761092149
4393045,1.0,936,6,5,503,76,6.618421052631579,3.111793439204647,23.915208410507095,7.259045725646124,7.240556660039761,7.26779324055666
4440451,1.0,657,1,0,657,131,5.015267175572519,3.5498844428708285,32.4623088675561,12.18234398782344,12.169710806697108,12.312633181126332
4443744,1.0,710,2,1,659,101,6.524752475247524,4.50206033380437,53.01891045305618,10.250834597875569,9.861305007587253,11.44142640364188
4448887,1.0,666,5,5,427,50,8.54,5.232145201569385,28.584756972875084,6.14496487119438,5.515222482435597,6.400234192037471
4469551,1.0,670,5,4,530,102,5.196078431372549,3.1963012248892575,40.010185783387215,9.9588679245283,8.906037735849056,10.042264150943396
4472905,1.0,816,5,4,460,70,6.571428571428571,4.344730031067418,41.73039338193006,7.116304347826087,7.085869565217391,7.276739130434783
4473229,1.0,673,3,3,499,68,7.338235294117647,4.315032745585515,31.202797190863784,8.380160320641282,8.362324649298598,8.392384769539078
4481970,1.0,642,3,2,569,83,6.855421686746988,3.301382330394752,38.16515490606879,8.829701230228471,8.50298769771529,9.009666080843585
4482888,1.0,647,1,1,615,196,3.1377551020408165,0.9131319436573692,16.59596267477911,11.382276422764228,11.275447154471545,13.150731707317073
4487550,1.0,653,4,3,471,62,7.596774193548387,4.985315296131579,31.18807009332474,7.502335456475584,7.021231422505308,7.515923566878981
4487946,1.0,710,2,1,280,72,3.888888888888889,2.665883556270062,25.38901739170629,8.605714285714285,7.417142857142858,8.8725
4504164,1.0,649,3,2,577,69,8.36231884057971,4.4839762854897725,50.890528930793714,9.211265164644713,8.107972270363952,9.275216637781629
4527487,1.0,671,4,3,553,55,10.054545454545455,0.724303622663556,6.255258178912017,7.784086799276674,7.481555153707053,7.846473779385173
4544584,1.0,672,4,3,530,119,4.453781512605042,1.451608304608904,14.470114852441816,9.91377358490566,9.55377358490566,10.066037735849056
4547202,1.0,696,7,7,322,57,5.649122807017544,1.947252523549188,13.462070083037103,6.414906832298136,6.317391304347826,6.517080745341615
4559519,1.0,991,4,3,563,72,7.819444444444445,2.886504625832537,34.037319161861404,9.122024866785079,9.116163410301953,9.198934280639431
4575701,1.0,700,3,2,625,147,4.2517006802721085,2.272910947604232,34.01535314310988,9.437439999999999,5.84368,10.175839999999999
4579744,1.0,678,5,4,521,49,10.63265306122449,13.593614742945483,93.25807944715704,3.831669865642994,3.680806142034549,3.9836852207293667
4605892,1.0,678,6,6,459,46,9.978260869565217,0.681689820942248,5.434904624931806,3.130936819172113,2.954248366013072,3.429193899782135
4668185,1.0,641,6,6,398,73,5.4520547945205475,4.624341305159633,42.28670852244389,3.942211055276382,3.787185929648241,3.9693467336683415
4705097,1.0,659,4,4,439,111,3.954954954954955,1.8755740956165294,26.479700495402472,10.658086560364463,10.21867881548975,11.040546697038724
4724133,1.0,650,4,3,530,95,5.578947368421052,2.297786698984067,15.58663301971458,10.181509433962264,9.371698113207547,10.203018867924529
4749525,1.0,805,4,3,483,106,4.556603773584905,1.9336319462775515,13.882043133731353,9.775155279503105,9.041407867494824,10.082608695652173
4754626,1.0,1144,5,4,496,90,5.511111111111111,1.9742987978472941,27.411436575450214,7.879233870967742,7.477822580645161,8.328225806451613
4754956,1.0,647,5,5,464,94,4.9361702127659575,1.7452665894177921,17.780352937123656,6.89375,6.38448275862069,7.106896551724137
4775763,1.0,718,9,8,353,98,3.6020408163265305,1.7985772793551933,23.742726470652972,5.846175637393767,5.524362606232295,5.861756373937676
4785421,1.0,773,4,5,438,77,5.688311688311688,1.6020690782447438,11.776984519921172,8.163470319634703,7.994748858447488,8.17146118721461
4789937,1.0,678,5,6,455,89,5.112359550561798,1.6690934041121581,14.75869871094314,7.010769230769231,6.632527472527473,7.5503296703296705
4792515,1.0,705,6,7,406,52,7.8076923076923075,1.120131455480811,7.761259636705122,4.98448275862069,4.928325123152709,5.605911330049261
4811115,1.0,643,5,4,440,31,14.193548387096774,50.61906931894159,185.7688224397479,3.810909090909091,3.7718181818181815,3.8643181818181818
4824328,1.0,688,3,2,512,89,5.752808988764045,2.1389596604796712,33.96137710837829,8.3111328125,7.904296875,8.6236328125
4861227,1.0,710,9,8,291,37,7.864864864864865,1.4569373750429073,10.24405437946212,3.9714776632302407,3.9560137457044675,4.0010309278350515
4861687,1.0,746,6,6,520,57,9.12280701754386,6.524288510275066,69.60087331588825,3.132884615384615,3.079615384615385,4.851538461538462
4862222,1.0,670,4,3,506,127,3.984251968503937,2.826951106734412,46.864483753444965,5.057114624505929,5.0007905138339925,5.18300395256917
4862380,1.0,660,3,2,585,104,5.625,3.641755676155677,47.20793738857252,8.731794871794872,8.485128205128206,9.837264957264958
4865550,1.0,642,4,3,521,100,5.21,4.576610997376319,51.37805376447443,9.371209213051822,8.484836852207295,9.464107485604607
4865558,1.0,649,5,4,494,138,3.579710144927536,2.3358202396039633,30.78423167887682,9.762348178137653,9.42672064777328,9.77348178137652
4912927,1.0,674,2,1,637,156,4.083333333333333,1.4585940977209961,15.035685922274615,10.228728414442699,10.06232339089482,11.043014128728414
4915833,1.0,675,4,3,527,94,5.6063829787234045,3.894973836765034,42.547336735578924,9.093168880455408,7.12258064516129,9.288045540796965
4940890,1.0,683,3,2,589,140,4.207142857142857,1.1234109213271466,11.139082353600175,6.948217317487266,5.539049235993208,7.91018675721562
5244934,1.0,656,6,6,405,52,7.788461538461538,2.9137003617490365,19.09679461947557,2.872592592592593,2.8575308641975306,2.896543209876543
5351422,1.0,654,4,4,502,80,6.275,4.594910998752399,41.21586545665131,7.191035856573706,7.0800796812749,7.515737051792829
5477477,1.0,678,2,1,645,107,6.02803738317757,2.8174519344162743,25.9811416700368,10.605116279069767,10.448372093023256,10.648527131782947
5499001,1.0,670,4,3,557,158,3.5253164556962027,1.4549948259663439,14.983593558438749,10.606283662477558,9.788689407540396,10.800179533213644
5503058,1.0,916,5,5,724,85,8.51764705882353,0.7610745428395619,15.843893379831947,9.259806629834255,8.601243093922653,9.338397790055248
5503168,1.0,695,6,5,467,88,5.306818181818182,0.6787846160206619,4.220289474948493,7.57644539614561,7.320128479657388,7.606209850107066
5503359,1.0,716,4,5,520,74,7.027027027027027,1.2772048479781901,10.382048665543385,5.5909615384615385,4.908076923076923,6.0125
5540718,1.0,663,5,6,354,34,10.411764705882353,11.882384796618128,74.53631466457486,3.139830508474576,3.1271186440677967,3.1655367231638416
5540722,1.0,691,5,4,502,45,11.155555555555555,6.05458419376214,35.61922461600982,3.3191235059760955,3.306175298804781,3.470517928286853
5540733,1.0,641,8,7,363,79,4.594936708860759,1.7253819699507518,14.872456957448172,3.634159779614325,3.50633608815427,3.7110192837465563
5540847,1.0,869,6,6,593,72,8.23611111111111,1.5948025217123625,36.55168169685484,3.9586846543001686,3.526475548060708,6.490725126475548
