dp_epsilon_m,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_mean_sed_m_mean,move_mean_sed_m_median,move_mean_sed_m_std,move_mean_sed_m_min,move_mean_sed_m_max,move_max_sed_m_mean,move_max_sed_m_median,move_max_sed_m_std,move_max_sed_m_min,move_max_sed_m_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,passes_sed_budget
1.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,46.23,35.5,34.42921445634228,6.0,158.0,10.45328301730719,9.603968253968254,4.79695347822815,3.238095238095238,27.076923076923077,10.848569232083108,9.822729468369308,6.750799855990996,0.6910664332876628,42.23477037972978,61.55959242779096,58.61778400727843,29.088310983158827,3.1859973118075295,143.8669481117084,4.6144980319968445,4.484069297722003,1.5419869151249181,1.6988571428571428,10.207154742096506,1
50.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,8.54,7.0,4.479853893721414,2.0,20.0,50.08855631610392,45.53030303030303,22.007154656686755,15.363636363636363,129.0,47.93521768237961,40.59129557892413,24.95107786865157,4.789613501193061,140.94230773113765,156.99272328903535,129.37879004121464,84.74971646926612,11.824371031541965,566.4322821812247,2.010815993811475,1.7477120850407912,1.052323736893057,0.712249443207127,5.606855791962174,0
30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,9.55,8.0,5.55482318405011,2.0,25.0,46.585145358760606,42.75,21.730416042010543,15.363636363636363,129.0,42.8903666606193,38.10535821187327,21.263807688891447,4.789613501193061,103.13707121137882,148.4350543305505,126.94572102576628,69.48147811007797,11.824371031541965,434.93525796539325,2.1741596519973814,1.9159218319092184,1.1926334860339258,0.6794573643410853,5.455407653910149,0
20.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,10.67,9.0,6.789854285043326,2.0,30.0,43.35381356400559,36.84444444444444,21.522223466872276,14.083333333333334,129.0,40.476258034252524,36.287563198400115,21.174065238940315,4.789613501193061,103.13707121137882,143.33594707779076,125.6794035773454,69.2019069192187,11.824371031541965,434.93525796539325,2.1512356956968115,1.8196620046620047,1.1224514418644507,0.7041322314049587,5.1807248764415155,0
15.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,11.86,9.0,8.177352316556435,2.0,38.0,40.7677122345435,35.9375,21.75110766352693,13.0,129.0,38.21570774503705,32.51236185765744,21.56833470416239,4.789613501193061,103.13707121137882,138.57679719898238,120.60616017444609,71.3009002173475,11.824371031541965,434.93525796539325,2.222336752670929,1.8588576779026216,1.209738261748222,0.7085714285714286,5.831442463533225,0
10.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,13.5,10.0,9.807747916413797,2.0,47.0,36.26721204095514,32.0625,19.203282013256242,12.071428571428571,109.5,36.07193849917128,29.74631418413873,21.221221650793566,4.789613501193061,103.13707121137882,131.67571059105143,116.98077463787027,62.73221360481403,11.824371031541965,306.09847681685676,2.4346082076649354,2.0465407925407924,1.3325296994581293,0.7098684210526316,9.096505823627288,0
9.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,14.01,11.0,10.17373822618557,2.0,48.0,35.01635869059087,30.090909090909093,18.96801704875727,12.071428571428571,109.5,35.837753490464266,29.669413126067173,21.20618606166026,4.789613501193061,103.13707121137882,131.93268634752962,116.98077463787027,62.08134023811374,11.824371031541965,306.09847681685676,2.554164473825566,2.292169044608994,1.265973349619016,0.6945205479452055,5.743163097199341,0
8.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,14.91,11.5,10.796646505168898,2.0,52.0,33.06836722270241,28.092105263157897,18.438117823014405,11.266666666666667,109.5,34.20245489847457,27.656723260934534,21.019793369776206,4.789613501193061,103.13707121137882,126.94684364251262,108.25329125166036,61.864166259938976,11.824371031541965,306.09847681685676,2.676509738055219,2.387047360787034,1.3290756287784375,0.7289772727272728,7.938235294117646,0
7.5,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,15.16,12.0,11.11348257520994,2.0,55.0,32.80380869297797,27.67543859649123,18.504938971979524,10.927272727272728,109.5,33.933646659838374,27.656723260934534,20.978147421918397,4.789613501193061,103.13707121137882,126.31786533157101,108.25329125166036,61.591583836409725,11.824371031541965,306.09847681685676,2.5477213873545934,2.3340750069969216,1.2810807781763205,0.7348684210526316,5.784927066450567,0
7.0,100,443.41,399.0,181.22055845869366,216.0,989.0,2.39,2.0,1.562793406795419,1.0,8.0,1.59,1.0,1.6702688345886059,0.0,7.0,371.98,362.5,150.6838271267881,121.0,617.0,15.61,12.0,11.552161020450859,2.0,56.0,32.195584314160065,27.17361111111111,18.492748343043303,10.732142857142858,109.5,33.68892446615321,27.656723260934534,21.003773497005614,4.789613501193061,103.13707121137882,126.3054998686387,108.25329125166036,61.60565789626661,11.824371031541965,306.09847681685676,2.7411100191146267,2.419097121447983,1.3761755774568447,0.7293478260869565,6.688851913477538,0
